 -3.96	0
 -3.88	0
 -3.8	0
 -3.72	0
 -3.64	0
 -3.56	3e-07
 -3.48	2e-07
 -3.4	1e-07
 -3.32	1e-07
 -3.24	3e-07
 -3.16	5e-07
 -3.08	2.2e-06
 -3	3.6e-06
 -2.92	9.6e-06
 -2.84	7.1e-06
 -2.76	1.89e-05
 -2.68	3.34e-05
 -2.6	5.55e-05
 -2.52	7.98e-05
 -2.44	0.0001475
 -2.36	0.0001864
 -2.28	0.000273
 -2.2	0.0004078
 -2.12	0.0005519
 -2.04	0.0007953
 -1.96	0.0010853
 -1.88	0.0014564
 -1.8	0.0019458
 -1.72	0.0025719
 -1.64	0.0033465
 -1.56	0.0043475
 -1.48	0.0055436
 -1.4	0.0067762
 -1.32	0.0084312
 -1.24	0.0102326
 -1.16	0.0123656
 -1.08	0.0146989
 -1	0.0171226
 -0.92	0.0197568
 -0.84	0.0224933
 -0.76	0.0256215
 -0.68	0.0286565
 -0.6	0.0317167
 -0.52	0.0347597
 -0.44	0.0373088
 -0.36	0.0397111
 -0.28	0.0417381
 -0.2	0.0433389
 -0.12	0.0445333
 -0.04	0.0449726
 0.04	0.0448594
 0.12	0.044185
 0.2	0.0432599
 0.28	0.0418216
 0.36	0.039395
 0.44	0.0368201
 0.52	0.0339134
 0.6	0.0309653
 0.68	0.0278677
 0.76	0.0249356
 0.84	0.0216601
 0.92	0.0188509
 1	0.0163247
 1.08	0.0135052
 1.16	0.0114206
 1.24	0.0092164
 1.32	0.0076188
 1.4	0.0061025
 1.48	0.0047406
 1.56	0.0037566
 1.64	0.0029009
 1.72	0.0022735
 1.8	0.0017131
 1.88	0.0013381
 1.96	0.0009701
 2.04	0.0007115
 2.12	0.0005023
 2.2	0.0003954
 2.28	0.0002751
 2.36	0.000192
 2.44	0.0001336
 2.52	9.05e-05
 2.6	6.44e-05
 2.68	4.16e-05
 2.76	2.89e-05
 2.84	1.98e-05
 2.92	1.38e-05
 3	7.3e-06
 3.08	2e-06
 3.16	3e-07
 3.24	1.1e-06
 3.32	2e-07
 3.4	2e-07
 3.48	0
 3.56	0
 3.64	0
 3.72	0
 3.8	0
 3.88	0
 3.96	0
