189	328.64	16.2488	328.64
190	329.35	15.1892	329.35
191	330.71	17.317	330.71
192	331.48	8.67761	331.48
193	332.65	18.116	332.65
194	333.19	16.2758	333.19
195	332.12	16.1876	332.12
196	330.99	19.7669	330.99
197	329.17	14.742	329.17
198	327.41	15.0093	327.41
199	327.21	19.4904	327.21
200	328.34	13.7103	328.34
201	329.5	17.7851	329.5
202	330.68	19.4851	330.68
203	331.41	20.3167	331.41
204	331.85	21.1431	331.85
205	333.29	21.2922	333.29
206	333.91	18.3872	333.91
207	333.4	21.4583	333.4
208	331.74	22.4156	331.74
209	329.88	22.369	329.88
210	328.57	30.3173	328.57
211	328.36	33.0332	328.36
212	329.33	39.042	329.33
213	330.59	97.7244	330.59
214	331.66	16.2957	331.66
215	332.75	8.2524	332.75
216	333.46	10.9179	333.46
217	334.78	16.3153	334.78
218	334.78	17.1512	334.78
219	334.06	20.121	334.06
220	332.95	23.4287	332.95
221	330.64	27.6576	330.64
222	328.96	26.1099	328.96
223	328.77	31.1612	328.77
224	330.18	24.5021	330.18
225	331.65	29.2246	331.65
226	332.69	33.4017	332.69
227	333.23	22.0193	333.23
228	334.97	35.8338	334.97
229	336.03	35.81	336.03
230	336.82	39.236	336.82
231	336.1	38.9226	336.1
232	334.79	51.7064	334.79
233	332.53	76.3769	332.53
234	331.19	144.336	331.19
235	331.21	285.794	331.21
236	332.35	91.3325	332.35
237	333.47	69.5298	333.47
238	335.1	58.2449	335.1
239	335.26	55.9979	335.26
240	336.61	55.9903	336.61
241	337.77	66.6069	337.77
242	338	61.6488	338
243	337.98	68.1334	337.98
244	336.48	75.6106	336.48
245	334.37	78.7768	334.37
246	332.33	81.4825	332.33
247	332.41	98.7283	332.41
248	333.76	115.604	333.76
249	334.83	136.327	334.83
250	336.21	135.658	336.21
251	336.65	201.575	336.65
252	338.13	233.592	338.13
253	338.94	288.598	338.94
254	339	410.011	339
255	339.2	886.438	339.2
